"","SURVEY","SUBREGION","HAULJOIN","YEAR","STRATUM","AREA","DEPTH","LON","LAT","TEMP"
"1","GOA","WGOA",1077923,2001,"10",8332.718,78,194.9585,54.00052,4.8
"2","GOA","WGOA",-12881,2005,"10",8332.718,82,190.2222,52.62704,4.9
"3","GOA","WGOA",-2940,2007,"10",8332.718,79,194.15739,53.88413,3.7
"4","GOA","WGOA",-12883,2005,"10",8332.718,33,191.90829,53.2343,5.2
"5","GOA","WGOA",-12884,2005,"10",8332.718,72,192.0369,53.17455,5.1
"6","GOA","WGOA",1077929,2001,"10",8332.718,67,192.1609,53.2158,4.9
"7","GOA","WGOA",-12886,2005,"10",8332.718,79,192.6452,53.25791,4.9
"8","GOA","WGOA",-12887,2005,"10",8332.718,67,193.4548,53.56503,4.9
"9","GOA","WGOA",1166842,2003,"10",8332.718,47,191.7648,53.20976,5.7
"10","GOA","WGOA",1166843,2003,"10",8332.718,96,192.39931,53.15097,5.1
"11","GOA","WGOA",-12890,2005,"10",8332.718,79,194.3839,53.79307,5
"12","GOA","WGOA",-12891,2005,"10",8332.718,97,194.0244,53.80071,4.8
"13","GOA","WGOA",-12893,2005,"10",8332.718,59,193.8004,53.90336,5.1
"14","GOA","WGOA",-14087,2015,"10",8332.718,94,194.50198,53.78416,5.8
"15","GOA","WGOA",1166848,2003,"10",8332.718,87,194.0316,53.92989,5.5
"16","GOA","WGOA",1166849,2003,"10",8332.718,91,194.64,53.91893,5.8
"17","GOA","WGOA",881612,1996,"10",8332.718,84,191.1018,52.77438,5.3
"18","GOA","WGOA",881613,1996,"10",8332.718,78,191.1599,52.78841,5.3
"19","GOA","WGOA",1078150,2001,"10",8332.718,47,194.6582,54.04216,4.9
"20","GOA","WGOA",881319,1996,"10",8332.718,62,193.4292,53.71413,3.9
"21","GOA","WGOA",-13988,2015,"10",8332.718,55,193.0571,53.44595,5.8
"22","GOA","WGOA",881323,1996,"10",8332.718,87,194.5911,53.99652,4.7
"23","GOA","WGOA",881324,1996,"10",8332.718,91,194.5829,53.89082,4.7
"24","GOA","WGOA",-13993,2015,"10",8332.718,90,194.58435,53.91238,6
"25","GOA","WGOA",985863,1999,"10",8332.718,47,192.5509,53.28432,4.2
"26","GOA","WGOA",-9908,2013,"10",8332.718,64,191.16883,52.88028,4.7
"27","GOA","WGOA",1180667,2003,"10",8332.718,51,194.4622,54.2476,5.3
"28","GOA","WGOA",1180668,2003,"10",8332.718,64,194.70399,54.14932,5.5
"29","GOA","WGOA",-7347,2011,"10",8332.718,44,192.75867,53.36335,5.2
"30","GOA","WGOA",-2737,2007,"10",8332.718,65,191.4146,52.97223,3.8
"31","GOA","WGOA",985871,1999,"10",8332.718,64,194.679,54.13375,3.7
"32","GOA","WGOA",-2739,2007,"10",8332.718,89,192.3564,53.17788,3.6
"33","GOA","WGOA",1166856,2003,"10",8332.718,91,194.8486,54.2393,5
"34","GOA","WGOA",-2741,2007,"10",8332.718,80,193.1479,53.43497,3.6
"35","GOA","WGOA",985875,1999,"10",8332.718,97,194.6802,53.95478,3.5
"36","GOA","WGOA",1166860,2003,"10",8332.718,81,194.97099,53.99407,6.1
"37","GOA","WGOA",1180654,2003,"10",8332.718,96,192.5368,53.15903,5.7
"38","GOA","WGOA",-2747,2007,"10",8332.718,81,194.0434,53.68386,3.5
"39","GOA","WGOA",-2748,2007,"10",8332.718,54,194.24519,54.05794,3.6
"40","GOA","WGOA",-2749,2007,"10",8332.718,81,194.5173,53.98896,3.5
"41","GOA","WGOA",-2750,2007,"10",8332.718,93,194.83791,53.91693,3.5
"42","GOA","WGOA",1166839,2003,"10",8332.718,87,190.9809,52.75983,5.7
"43","GOA","WGOA",979013,1999,"10",8332.718,84,194.9363,53.98622,3.4
"44","GOA","WGOA",1173514,2003,"10",8332.718,81,194.11031,53.90025,6
"45","GOA","WGOA",1173501,2003,"10",8332.718,82,192.25011,53.19249,5.7
"46","GOA","WGOA",1173516,2003,"10",8332.718,66,194.6935,54.13038,5.2
"47","GOA","WGOA",1173503,2003,"10",8332.718,98,192.4581,53.15781,5.2
"48","GOA","WGOA",-9936,2013,"10",8332.718,46,191.75033,53.20826,4.9
"49","GOA","WGOA",-14429,2015,"10",8332.718,95,194.96312,54.30837,5.6
"50","GOA","WGOA",881600,1996,"10",8332.718,95,194.3019,53.68253,4.5
"51","GOA","WGOA",881599,1996,"10",8332.718,78,193.6752,53.63918,4.5
"52","GOA","WGOA",1173508,2003,"10",8332.718,87,193.5563,53.5902,5.7
"53","GOA","WGOA",1173509,2003,"10",8332.718,99,194.1097,53.58813,5.8
"54","GOA","WGOA",-13986,2015,"10",8332.718,46,191.76356,53.20991,6.1
"55","GOA","WGOA",1173513,2003,"10",8332.718,97,194.62691,53.86791,5.7
"56","GOA","WGOA",-2681,2007,"10",8332.718,85,190.9915,52.75535,3.7
"57","GOA","WGOA",991284,1999,"10",8332.718,87,194.4616,53.97909,3.5
"58","GOA","WGOA",979004,1999,"10",8332.718,78,190.9996,52.77553,4.1
"59","GOA","WGOA",-13992,2015,"10",8332.718,59,193.80021,53.90333,5.9
"60","GOA","WGOA",-5421,2009,"10",8332.718,67,191.8064,53.16682,3.4
"61","GOA","WGOA",-12570,2005,"10",8332.718,34,191.97459,53.26887,5.5
"62","GOA","WGOA",-12571,2005,"10",8332.718,63,191.8959,53.17712,5.1
"63","GOA","WGOA",-12572,2005,"10",8332.718,79,192.2464,53.20214,5.1
"64","GOA","WGOA",-12575,2005,"10",8332.718,78,193.99271,53.70121,5.1
"65","GOA","WGOA",-12576,2005,"10",8332.718,78,193.38319,53.53648,5
"66","GOA","WGOA",-13218,2005,"10",8332.718,82,194.8597,54.20574,4.7
"67","GOA","WGOA",-5429,2009,"10",8332.718,94,194.1586,53.84075,4.2
"68","GOA","WGOA",-4701,2009,"10",8332.718,90,194.72791,54.21062,4
"69","GOA","WGOA",-2683,2007,"10",8332.718,60,191.47031,52.99327,4
